video_id,duration
d8RW-WSpAhQ,PT7M35S
G1Ky9-OoWyo,PT34M18S
54Eae2ewc1c,PT3M36S
PoNWU2cox9w,PT4M15S
mwpHSMv1pI4,PT3M40S
cpvoCLX8agc,PT8M4S
E7q_wbbwGyU,PT3M24S
vLVSf_yI_r8,PT3M42S
kGOmPmILndU,PT2M46S
F6rBIWN8SsM,PT1M25S
vht9VHo8r5c,PT7M28S
IOd0HGH6xKI,PT3M21S
sLJdBmAeB_U,PT17M51S
mCx26FLXWuI,PT4M31S
iDXlWTRyxgE,PT3M23S
z4bLKt9k5dk,PT5M45S
GdR-iTH_f-I,PT28M23S
axVvZrDz60k,PT3M27S
Wjq7x2d_s1w,PT3M34S
aaOB-ErYq6Y,PT2M48S
FmYMq9EHhdE,PT15M50S
NHglTopVlKQ,PT3M4S
TQ2uDO5CbYg,PT22S
4j-ED6tL85o,PT3M32S
r1afdZk0qcI,PT4M1S
n1rblnOWhmM,PT14M14S
3iXwXYflCSI,PT7M55S
6jV798JxoTY,PT25M52S
qYmPNNvfawM,PT8M24S
ozkqm2ifMw8,PT4M11S
l9nGCJlDclQ,PT6M41S
28_tNFnMrTk,PT30M50S
SMBXARpIqME,PT2M18S
rwYd2kIZxk4,PT3M19S
0Yp9WS6cJFA,PT15M11S
bRlXatOvsZU,PT3M50S
X9VlCV1ZflQ,PT4M2S
I1uCGgc-Jag,PT21M13S
8HON4AswPVk,PT29M3S
4GFAZBKZVJY,PT3M38S
au3S8F08v54,PT1M1S
hIwRdDcQBEU,PT10M59S
Jj0uBQ7j5c4,PT3M41S
tSjvx_c4meE,PT22M35S
KgBWLAKxi-c,PT33M43S
CCPX4EYrskw,PT8M3S
UWl2fVxb-Mc,PT2M10S
iNf6VErGDLI,PT7M55S
JD40Q9esDws,PT11M50S
IVRVXYCrr14,PT24M48S
ROzC9ZySGos,PT12M42S
TUv06BScsp0,PT4M26S
b-ufhlIlfmA,PT49M45S
L99Bi097wak,PT13M3S
14G7U6pTcFk,PT4M26S
1eS_17CG9sk,PT10M32S
kROW5iooUKE,PT12M55S
NWdc7PyZNLA,PT18M30S
jSJr3dXZfcg,PT4M30S
nR3OdeqiEF8,PT2M3S
CFMRJSPDr2k,PT11M31S
wGxT2tg4It0,PT10M48S
s2zlBSsumeI,PT46S
NLCfRHdi6Ig,PT30M55S
V54CEElTF_U,PT3M27S
jDvKFN6aYsE,PT1M27S
o3CaFMmKA7A,PT16M7S
M_wZMgZNpaM,PT1M18S
MjdpR-TY6QU,PT7M21S
T8jBIVi6rrM,PT5M8S
qc_z4a00cCQ,PT1M47S
WqMOHepSpkU,PT5M2S
TbfxmTQkLAE,
BsjQqm60ZEI,PT6M28S
kqbJCW-jxYM,PT43M13S
90IJanuV_0M,PT3M2S
S0A4hBJHND4,PT20S
uT3wso5Zp7k,PT1M30S
PFDElc5sfSM,PT6M22S
7JMV6iBlXFo,PT6M17S
Xc4xYacTu-E,PT26M11S
L_u97PqWX6g,PT3M9S
W4CB5SeBGkI,PT56S
rnhlTS8RgUM,PT3M39S
fMbuWa-OdN8,PT3M22S
U0yo2XqufgU,PT3M45S
kRDb2X3gFmo,PT10M44S
O8nZrqbHwaA,PT41S
lYN26wt1lJQ,PT3M37S
l9Rwc7-p5uA,PT2M38S
Hw2e2XS9Wmc,PT3M22S
nVzA1uWTydQ,PT3M43S
676hNIhKO2M,PT3M10S
-crLmRLgeNE,PT3M31S
zN_DJ3c2N28,PT3M8S
Plh2sfrbdlc,PT7M24S
25ibuwW4Dm4,PT11M
twjTkBN3Q9A,PT22M42S
tpyQLIpv4Yk,PT4M1S
cJ1zhq3yNBM,PT4M27S
VsRot0p7ObY,PT4M25S
j5AILysDDTI,PT5M22S
ZDMgHk2DjoQ,PT12M26S
bCznvAkpwWs,PT1M31S
om0h_r2TAmw,PT13M41S
Q-KsToawMJE,PT3M43S
lyqww9P7qyw,PT3M36S
MnK9_fWPT3Y,PT3M37S
Tl_Qfj8780M,PT3M35S
7DLKv39MLbg,PT7M14S
OXZQ5DfSAAc,PT2M24S
xq9FgX_mXiE,PT5M1S
kgaO45SyaO4,PT25S
VsYmwBOYfW8,PT4M27S
A5TPOKoE1_M,PT38M29S
gjXrm2Q-te4,PT1M16S
mJt1O3q0zKc,PT4M56S
8gFGhT5GpAs,PT1M13S
ls31TkGSQGA,PT27M7S
acIRvVxB4go,PT13M36S
XymR5UCxSfA,PT13M18S
5E4ZBSInqUU,PT3M27S
aRz_XfwcVtU,PT4M2S
RDP8Oh-br4Y,PT14M22S
